[What is PPACA], [Patient Protection and Affordable Care Act]
[Exenatide and Liraglutide, mainly used to treat diabetes, are currently being trialed to treat another disease prevalent in elders. What is the disease], [Parkinson’s disease]
[Shock due to a decreased blood volume that may be caused by internal or external bleeding], [Hypovolemic shock]
[What category of HOSA partnerships does Nat Geo fall under], [Elite]
[The escape of fluid from anatomical vessels by rupture or exudation], [Effusion]
[What type of fracture occurs when a small chunk of bone attached to a tendon or ligament gets pulled away from the main part of the bone], [Avulsion fracture]
[Act of listening to sounds arising within organs], [Auscultation]
[What is the term for a furrow or shallow depression], [Fossa]
[What does it mean when a condition is iatrogenic], [Illness/unfavorable response to treatment is induced from the treatment itself]
[____ motion provides a means of questioning procedures concerning other motion, must be considered before other motion], [Incidental]
[Inflammation of the vein], [Phlebitis]
[Name one of the goals/purposes of parliamentary procedure], [To protect the rights of the minority, maintain the rule of the majority, and promote the most efficient proceedings]
[What technology is currently being used to treat severe sickle-cell disease], [Gene editing/CRISPR]
[NKA], [No known allergies]
[A sharp pointed instrument fitted with a cannula (that IV tube thing) and used especially to insert the cannula into a body cavity as a drainage outlet], [Trocar]
[How many lumbar vertebrae are there], [5]
[What section of events is Mental Health Promotion under], [Emergency Preparedness]
[What is periodontium], [Structures surrounding the teeth (i.e., dental arches, soft tissues)]
[HOSA dress code for shoes regardless of gender], [Closed-toed blue or black]
[When does a motion not require a second to be considered], [When it is made on a committee (bunch of people makes it, technically already has a second)]
[2023 public health topic], [Technology Addiction: How To Protect Ourselves]
[SIDS], [Sudden infant death syndrome]
[Medical term for internal organs], [Viscera]
[What does RLQ stand for], [Right lower quadrant]
[Who invented bifocals and created the catheter], [Benjamin Franklin]
[What does it mean to Sternutate], [Sneeze]
[What is another term for the chair], [Presiding officer, president]
[1 oz to mL], [30 mL]
[Established practice or usage having the force of law or right], [Custom]
[Chair of HOSA Board of Directors], [Marcus Henderson]
[When and where (state and city) was HOSA conceived (not incorporated)], [November 1975 at Cherry Hill, New Jersey]
[Where is monkeypox currently most prevalent/endemic], [Democratic Republic of Congo]
[To make a treatment or procedure inadvisable], [Contraindicate]
[What does the suffix -centesis mean in surgery], [Surgical puncture to remove fluid]
[Name one of the winners of the Nobel Prize in Physiology or Medicine 2023], [Katalin Karikó, Drew Weissman]
[Cords supporting atrioventricular valves because they are under higher pressure], [Chordae tendineae]
[What did the 2 winners of the Nobel Prize in Physiology or Medicine 2023 contribute to], [The development of effective mRNA vaccines against COVID-19]
[What is a more common term for thrombocytes], [Platelets]
[What test is used to screen for cervical cancer], [Pap smear test]
[Postsecondary/collegiate VP], [Chetana Movva]
[Who was the first national HOSA president], [Lynne McGee]
[This is a mosquito-borne flavivirus, first infected birds now it infects humans, can lead to encephalitis or meningitis in older patients], [West Nile virus]
[1 mL to drops], [20 drops]
[What is a committee], [A group of members who meet for a specific purpose or task]
